australian,0.17798542996885502,0.4847538967830144,0.005517239089866174
banknote,0.23800183376425216,0.6808935354081733,0.05520986995586582
breastcancer,0.5683014939643283,0.7632173984802131,0.0016852181935440348
breastHess,0.07756101812759095,0.33679623994254404,0.005505372415195057
bupa,0.00487387422735814,0.03918463885839891,0.006231724010160984
climate,0.02644638369432754,0.3184417255624398,0.01325850335747893
diabetes,0.09868004026129887,0.22434131522702233,0.006195259131759027
fertility,0.010675688412871791,0.18617794948316618,0.011889196846391713
german,0.02792960737719753,0.14324809033546249,0.003519459965923677
golub,0.13630513780993816,0.33360602137494977,0.00599169715726729
haberman,0.01420491392154712,0.08765948384636277,0.045797497035115896
heart,0.1264964565077828,0.37206216493968186,0.0015570765529823655
ILPD,0.018666902802037297,0.05632315985229678,0.005403764164189452
parkinsons,0.11629887644093681,0.2978182330426077,0.005722211603312385
sonar,0.03288684190275803,0.21453621310568538,0.01813980548134816
