"","base_coef","base_pvalor","lmnn_coef","lmnn_pvalor","lfda_coef","lfda_pvalor"
"Pearson",-0.255540085286502,0.357972700043095,-0.259034006996737,0.351207428308427,-0.268592879129358,0.333066560536594
"Spearman",-0.221825041882897,0.426865565930073,-0.226988473123072,0.415898710575683,-0.262734689362926,0.344120125334223
