australian,0.17798542996885502,0.588807852870825,0.000460122800160413
banknote,0.23800183376436065,0.7363179087015449,0.07758587171103823
breastcancer,0.5683014939644683,0.7761262803430986,0.0004053449501113278
breastHess,0.07756101812759095,0.394997599645428,0.009946952331308608
bupa,0.00487387422826281,0.10423204176461612,0.012334972116350635
climate,0.026446383694327547,0.42540227766132077,0.002302209897286513
diabetes,0.09868004026129887,0.2609239131908135,0.0012974506975780057
fertility,0.010675688412871791,0.23745660822550319,0.00946438254820417
german,0.027929607377197536,0.20394809255141336,0.008034450679834187
golub,0.13630513780993816,0.47557359363273505,0.053561871135898935
haberman,0.014204913921894716,0.28100678481083524,0.0002861182345619678
heart,0.12649645650778282,0.4469787209417201,0.0013020899312837374
ILPD,0.018666902802131017,0.0784249244848372,0.0030410479540177796
parkinsons,0.1162988764409368,0.3917498107493613,0.0028009336830200457
sonar,0.032886841902758035,0.35376491362168955,0.015829940652764135
