"","base_coef","base_pvalor","lmnn_coef","lmnn_pvalor","lfda_coef","lfda_pvalor"
"intercept",1.3127107780529,0.0105764429739534,0.624769968660677,0.112879881042157,1.44513420928843,0.00204166617910141
"calinski_harabasz",0.000279501666489622,0.464285389388773,1.5151223802363e-05,0.920057873991713,2.54261372406378e-05,0.356305519927422
"davies_bouldin",-0.0381060322802635,0.0156259217226296,-0.0276205930289759,0.0458151916844516,-0.045058147753613,0.0728771652948034
"silhouette",-0.409837040256414,0.586321504850662,0.383366481516567,0.335327817529129,-0.114097008126426,0.669903135817335
"q",-0.276503431789293,0.175567917631916,0.016390850989178,0.948986438107118,-0.349696804632028,0.0899243396436718
"discard",-0.462135771930308,0.496597468245781,0.412022670411995,0.462764173000242,-0.720704948565171,0.209093544460847
