"","base_coef","base_pvalor","lmnn_coef","lmnn_pvalor","lfda_coef","lfda_pvalor"
"intercept",0.958236374792983,8.37871537279426e-07,0.811826589293327,1.90091811049886e-07,0.943904262436444,1.39647002086867e-06
"calinski_harabasz",0.00040599529972127,0.293510223074613,-2.2206820313763e-05,0.877764158199332,1.67164052084925e-05,0.54198419871195
"davies_bouldin",-0.0408770851704248,0.00987207930602684,-0.0253225829014436,0.0341310089888117,-0.0585527039201374,0.0243558704765766
"silhouette",-0.560594827924556,0.466064027977325,0.398180802182019,0.319709448452682,-0.0362078566846498,0.891131123699343
