"","base_coef","base_pvalor","lmnn_coef","lmnn_pvalor","lfda_coef","lfda_pvalor"
"intercept",0.555941866658715,0.349658808694656,-0.0971056592496004,0.809479943574659,1.42200035232362,0.00709838781134059
"calinski_harabasz",8.79737678716215e-05,0.865491479467383,-2.19685224937783e-05,0.894734380262983,1.58740933070189e-05,0.629618850508553
"davies_bouldin",-0.0283410402065607,0.143588369011867,-0.0267532073154376,0.071784926297438,-0.0299523868210093,0.295782667357975
"silhouette",0.414811228287782,0.688668238316076,0.776135810792959,0.0936809135190631,0.107877180823812,0.739788551466018
"q",0.0490256649383199,0.854374107749803,0.482745318755338,0.111885987166379,-0.303479297768497,0.20820742193415
"discard",0.477141471400554,0.608936687598523,1.23009475229887,0.0670042411658968,-0.977446846635286,0.165603132214951
