"","base_coef","base_pvalor","lmnn_coef","lmnn_pvalor","lfda_coef","lfda_pvalor"
"intercept",0.816750198332404,2.85758476842516e-05,0.675545764701405,5.43320977673648e-06,0.819440984873388,2.03322392442691e-05
"calinski_harabasz",6.13697784755612e-05,0.894891343483559,-0.000149902195544319,0.382040488770911,1.20080941644287e-06,0.969330642406283
"davies_bouldin",-0.0296812144351212,0.0940161465247893,-0.0131066550666568,0.306505137122965,-0.0432028309833555,0.122289003726543
"silhouette",0.321972481889943,0.731758453920416,0.948010769971028,0.0569630671591634,0.263486031010818,0.394128348897317
