"","australian","banknote","breastcancer","breastHess","bupa","climate","diabetes","fertility","german","golub","haberman","heart","ILPD","parkinsons","sonar"
"1",0.85546218487395,0.992647058823529,0.96875,0.659090909090909,0.7,0.689795918367347,0.64975845410628,0.5,0.646666666666667,0.833333333333333,0.589285714285714,0.721590909090909,0.660714285714286,0.591666666666667,0.569444444444444
"2",0.902564102564103,0.968354430379747,0.989583333333333,0.819444444444444,0.545454545454546,0.833333333333333,0.653061224489796,0.5,0.675105485232068,0.75,0.55,0.920588235294118,0.655844155844156,0.7,0.9
"3",0.823076923076923,0.99375,0.990909090909091,0.916666666666667,0.659420289855072,0.779591836734694,0.750718390804598,0.5,0.689497716894977,1,0.503333333333333,0.816666666666667,0.572199730094467,1,0.857142857142857
"4",0.829391891891892,0.991228070175439,0.965909090909091,0.773809523809524,0.683006535947712,0.583333333333333,0.731525157232704,0.444444444444444,0.54047619047619,0.583333333333333,0.664141414141414,0.85,0.606617647058824,0.928571428571429,0.821428571428572
"5",0.873076923076923,0.993506493506493,0.986842105263158,0.659090909090909,0.732600732600733,0.471698113207547,0.777083333333333,0.5,0.721223895094706,0.65,0.754658385093168,0.782142857142857,0.678632478632479,0.666666666666667,0.718181818181818
"6",0.91218487394958,1,0.988372093023256,0.928571428571429,0.579861111111111,0.865,0.628495842781557,0.8125,0.625868055555556,0.9,0.568181818181818,0.720588235294118,0.676113360323887,0.8,0.75
"7",0.762820512820513,0.987654320987654,0.977777777777778,0.916666666666667,0.761363636363636,0.857142857142857,0.65,0.5,0.640625,0.5,0.65952380952381,0.9,0.58944099378882,0.8,0.763636363636364
"8",0.868534482758621,0.556089743589744,0.962222222222222,0.8,0.680921052631579,0.625,0.808888888888889,0.4375,0.752380952380952,0.833333333333333,0.664141414141414,0.733333333333333,0.47678916827853,0.944444444444444,0.694444444444444
"9",0.913025210084033,0.556962025316456,0.956597222222222,0.833333333333333,0.546428571428571,0.579591836734694,0.810927672955975,0.388888888888889,0.632352941176471,0.833333333333333,0.831521739130435,0.777472527472527,0.569805194805195,0.84375,0.884615384615385
"10",0.858695652173913,0.745843989769821,0.989583333333333,0.742424242424242,0.53804347826087,0.990196078431373,0.749158249158249,0.5,0.730392156862745,0.833333333333333,0.490683229813665,0.761764705882353,0.699730094466937,0.797619047619048,0.75
